# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       7.491373800527e+00       5.185488890946e+03       8.648527593261e-01       2.381275874163e-05       9.501805835315e-01       2.262642099662e-05       4.591650729064e+00      -6.960298776146e-13       4.045726615184e-04 
       7.520812457761e+00       5.176090479879e+03       8.440429180703e-01       2.340120176894e-05       9.499698285401e-01       2.223043563207e-05       4.489843730129e+00      -7.154614576240e-13       4.073965337205e-04 
       7.547619595576e+00       5.167574349133e+03       8.238526357942e-01       2.298537138187e-05       9.497822397196e-01       2.183109751186e-05       4.396476230710e+00      -7.303684044054e-13       4.099188485200e-04 
       7.572281501704e+00       5.159774930466e+03       8.042408340924e-01       2.256787075869e-05       9.496135530236e-01       2.143075593533e-05       4.310158721569e+00      -7.415229673018e-13       4.121942749351e-04 
       7.595160385619e+00       5.152569355705e+03       7.851740027832e-01       2.215060024092e-05       9.494605893566e-01       2.103112195935e-05       4.229836976386e+00      -7.495251369716e-13       4.142636948601e-04 
       7.616533486166e+00       5.145863895523e+03       7.666240224426e-01       2.173497784363e-05       9.493209132753e-01       2.063346901653e-05       4.154690209270e+00      -7.548515215356e-13       4.161585140542e-04 
       7.636617849276e+00       5.139585395156e+03       7.485667419777e-01       2.132207921803e-05       9.491926165461e-01       2.023876016317e-05       4.084065570593e+00      -7.578877645715e-13       4.179034031322e-04 
       7.655586659662e+00       5.133675649591e+03       7.309810152027e-01       2.091273013241e-05       9.490741754301e-01       1.984773210641e-05       4.017434354465e+00      -7.589507434102e-13       4.195181091347e-04 
       7.673580367958e+00       5.128087579342e+03       7.138480281841e-01       2.050756967482e-05       9.489643533202e-01       1.946095259463e-05       3.954361762420e+00      -7.583042615693e-13       4.210186941997e-04 
       7.690714488625e+00       5.122782558254e+03       6.971508170683e-01       2.010709470004e-05       9.488621324810e-01       1.907886075508e-05       3.894485445293e+00      -7.561704324803e-13       4.224184057630e-04 
       7.707085199137e+00       5.117728500801e+03       6.808739143145e-01       1.971169186220e-05       9.487666650294e-01       1.870179615018e-05       3.837499909668e+00      -7.527380880990e-13       4.237283026591e-04 
