# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       2.958907862532e+00       7.697660632110e+03       1.157266506978e+00       6.926212159761e-06       9.854433574942e-01       6.825389765432e-06       4.357082060753e+00       1.011725654585e-12       5.953009695393e-05 
       3.042931709989e+00       7.615692967213e+03       1.154327759093e+00       7.204993088275e-06       9.848727442219e-01       7.096001314949e-06       4.493732001293e+00       1.037025960514e-12       6.299965493343e-05 
       3.132843732242e+00       7.530677508963e+03       1.150289748732e+00       7.502687122402e-06       9.842571474529e-01       7.384573425328e-06       4.639338742855e+00       1.062865835418e-12       6.682651633598e-05 
       3.229844730516e+00       7.441926421852e+03       1.144798507562e+00       7.821490520943e-06       9.835880060338e-01       7.693124265707e-06       4.795502450313e+00       1.089171432112e-12       7.108427641397e-05 
       3.334255583876e+00       7.349653393179e+03       1.137612246763e+00       8.160840899245e-06       9.828629444819e-01       8.020988115681e-06       4.962274390266e+00       1.115699856523e-12       7.581249481484e-05 
       3.444375139311e+00       7.255790079870e+03       1.128946158419e+00       8.515423797842e-06       9.820939275599e-01       8.362946002460e-06       5.136389182987e+00       1.141979931403e-12       8.095697271884e-05 
       3.556651933845e+00       7.163529728992e+03       1.119676938748e+00       8.877610003147e-06       9.813061383991e-01       8.711653190402e-06       5.311714609673e+00       1.167381906194e-12       8.636475995251e-05 
       3.667709592322e+00       7.075493578239e+03       1.110948795885e+00       9.243007729907e-06       9.805235575870e-01       9.062986822133e-06       5.482596208546e+00       1.191374788819e-12       9.187430880406e-05 
       3.775900760883e+00       6.992639091001e+03       1.103550058527e+00       9.612010657385e-06       9.797577702798e-01       9.417442129586e-06       5.646254557125e+00       1.213699480101e-12       9.739792276607e-05 
       3.881147189524e+00       6.914646928168e+03       1.097723511837e+00       9.987306812577e-06       9.790090442508e-01       9.777663697220e-06       5.802393256180e+00       1.234297111039e-12       1.029246267556e-04 
       3.984135246875e+00       6.840689438672e+03       1.093349340363e+00       1.037170610710e-05       9.782720994398e-01       1.014635070816e-05       5.951846145103e+00       1.253166453248e-12       1.084857491312e-04 
       4.085739843066e+00       6.769901001957e+03       1.090165283193e+00       1.076743468651e-05       9.775402667361e-01       1.052560097552e-05       6.095646070559e+00       1.270277880262e-12       1.141269612075e-04 
       4.186767844906e+00       6.701554196092e+03       1.087895178867e+00       1.117615173329e-05       9.768073497404e-01       1.091694715489e-05       6.234622647409e+00       1.285542879228e-12       1.198944662296e-04 
       4.287882074563e+00       6.635090550467e+03       1.086300779018e+00       1.159912506971e-05       9.760681822465e-01       1.132153692244e-05       6.369288880942e+00       1.298809424387e-12       1.258300409949e-04 
       4.389600079270e+00       6.570099725092e+03       1.085193947413e+00       1.203738252922e-05       9.753186437678e-01       1.174028360291e-05       6.499842964868e+00       1.309865036654e-12       1.319700919252e-04 
       4.492316909267e+00       6.506287263935e+03       1.084432912904e+00       1.249181328725e-05       9.745554995487e-01       1.217396533843e-05       6.626204024693e+00       1.318440217926e-12       1.383462105924e-04 
       4.596331826292e+00       6.443444731368e+03       1.083913763974e+00       1.296323110770e-05       9.737762101488e-01       1.262328605934e-05       6.748050429205e+00       1.324209990317e-12       1.449861541207e-04 
       4.701872211626e+00       6.381425688920e+03       1.083561680164e+00       1.345241371801e-05       9.729787594820e-01       1.308891281139e-05       6.864850458102e+00       1.326793058311e-12       1.519148447044e-04 
       4.809113128870e+00       6.320127435545e+03       1.083323401136e+00       1.396012832754e-05       9.721615128458e-01       1.357149947443e-05       6.975883070934e+00       1.325748602799e-12       1.591552609660e-04 
       4.918192851346e+00       6.259477441112e+03       1.083161221240e+00       1.448714967158e-05       9.713231029694e-01       1.407170317218e-05       7.080249149022e+00       1.320570720434e-12       1.667292058198e-04 
       5.029225271973e+00       6.199423273393e+03       1.083048352534e+00       1.503427484506e-05       9.704623375676e-01       1.459019750977e-05       7.176874165686e+00       1.310680304604e-12       1.746579818521e-04 
       5.142310319845e+00       6.139924930615e+03       1.082965361647e+00       1.560233834537e-05       9.695781202389e-01       1.512768588424e-05       7.264503009740e+00       1.295413838407e-12       1.829630301466e-04 
